,date_time,city_area,state,country,ufo_shape,encounter_length,described_encounter_length,description,date_documented,latitude,longitude
16929,2003-12-10 00:00:00,lincolnton,nc,USA,unknown,300.0,5 mpns,For the last two weeks&#44I have seen a light in the sky that appears to be landing lights on a aircraft&#44but the lights turn off and there,12/19/2003,35.4736111,-81.2547222
57752,1999-07-18 04:10:00,escondido,ca,USA,fireball,300.0,5 minutes,A large circular orange light which moved to the north&#44 then south&#44 north again the up until it dissapeared.,8/10/1999,33.1191667,-117.0855556
36970,2004-04-15 17:00:00,pittsboro,in,USA,light,2700.0,45min,The objects  was briht orange-ish yello&#44  and approx. to the north in a clearing of tthe clouds.,2/8/2005,39.8638889,-86.4669444
3942,2012-10-22 14:30:00,jacksonville beach,fl,USA,changing,420.0,7 minutes,Object appeared and morphed into a craft.  See photos.,10/30/2012,30.2944444,-81.3933333
27515,2004-02-20 19:30:00,olathe,ks,USA,other,900.0,10-15 minutes,Five Unknown Aircraft in Battle Formation Over Kansas,3/2/2004,38.8813889,-94.8188889
57279,1981-07-16 22:00:00,mont-tremblant (canada),pq,Canada,disk,2700.0,45min,Light in the sky&#44 Missing time&#44 Orange Giant Saucer&#44 3 witnesses,10/31/2003,46.2,-74.633333
43796,1999-05-22 02:38:00,carmel valley,ca,USA,rectangle,600.0,10 minutes,Rectangular object spotted in sky. Soon after intial sighting two other objects floated down and away from the main object. Then all th,6/23/1999,36.4797222,-121.7313889
14471,2007-11-04 21:55:00,fullerton,ca,USA,fireball,600.0,5-10 minutes,I and friends observed a slow moving object which dropped other objects before disappearing from view.,11/28/2007,33.8702778,-117.9244444
72705,2011-08-09 21:00:00,honolulu,hi,USA,unknown,5.0,5 seconds?,Extremely fast green light seen zooming over Honolulu in a south to north direction.  ((NUFORC Note:  Possible meteor??  PD)),8/21/2011,21.3069444,-157.8583333
37747,2006-04-19 22:50:00,morinville (canada),ab,Canada,other,180.0,2-3 minutes,Orange / yellow glowing wings with no persivible fuselage no sound.,5/15/2006,53.8,-113.65
75590,2009-09-18 21:00:00,boise,id,USA,light,1200.0,20 mins,A red light North of Boise&#44 erratic/still&#44 movment&#33,12/12/2009,43.6136111,-116.2025
3912,2011-10-22 14:05:00,ojai,ca,USA,unknown,300.0,3-5 minutes,Caught (something) on video&#33&#33,12/12/2011,34.4480556,-119.2419444
20051,2008-12-23 12:00:00,arvada,co,USA,triangle,9.0,9 seconds,silent v shape  craft &#44 no light&#39s&#44 moving west to east&#44 circles on bottom from center and two down the &quot;wings&quot;,8/27/2009,39.8027778,-105.0869444
29888,2003-02-08 05:30:00,beloit/milwaukee (between),wi,Other,disk,3600.0,1 hour,The object seen was saucer shaped with a dome&#44 emitting dotted or tracer type lights from the top and bottom.,3/4/2003,42.518191,-88.998889
43531,2001-05-21 21:45:00,las vegas,nv,USA,chevron,180.0,3 min,Bright lights larger than a plane&#44 orangish in color over Las Vegas.,8/5/2001,36.175,-115.1363889
12354,2006-11-22 05:45:00,harris,mn,USA,light,45.0,45 seconds,Two stationary bright lights ( like stars)in NW sky&#44 pulsing brighter and brighter&#44 then disappearing together.,12/7/2006,45.5863889,-92.9744444
35497,2005-03-09 05:40:00,camp hill,pa,USA,light,180.0,3 minutes,For three minutes around 0540 hrs I observed two bright lights close to each other in the sky afterwhich the lights disappeared.,5/11/2005,40.2397222,-76.9202778
53708,2010-06-05 02:00:00,louisville,ky,USA,light,5.0,5 seconds,Neon green burning light,6/10/2010,38.2541667,-85.7594444
22327,2008-12-04 20:00:00,new britain,pa,USA,triangle,90.0,1.5 minutes,bright&#44 trianglular&#44 glowing caft hovered above town and then sped away super fast&#33,1/10/2009,40.2988889,-75.1813889
18429,2012-12-15 00:00:00,forked river,nj,USA,diamond,60.0,1 minute,2 objects diamond shape&#44  moved  in Z pattern and took off  one to right one to left sidewards.,12/20/2012,39.8397222,-74.1905556
61649,1997-07-04 21:20:00,arnold,mo,USA,light,2.0,1 - 2 seconds,greenish streak traveled east to west.,9/26/1998,38.4327778,-90.3775
5615,2012-10-30 23:30:00,midlothian,tx,USA,triangle,180.0,3 minutes,Two identical triangular shaped objects flying high&#44 orange color orbs underneath.,11/4/2012,32.4822222,-96.9941667
6112,2006-10-03 21:00:00,canton,ga,USA,unknown,2.0,a few seconds at a time f,Black spec passing in front of the moon several times.,10/30/2006,34.2366667,-84.4908333
65395,2005-08-12 01:00:00,whitby (canada),on,Canada,other,2.0,1-2 seconds,MY husband and I were sitting in our backyard last Friday night around 1am. I looked up at the sky&#44 it was a clear night and you could,9/2/2005,43.866667,-78.933333
54116,2006-06-07 18:10:00,houston,tx,USA,disk,180.0,3 min,Still in the sky&#44 gone in an instant,7/16/2006,29.7630556,-95.3630556
58181,1970-07-20 19:00:00,kindred,nd,USA,oval,900.0,10-15 min.,When I was six&#44 my mom and I witnessed a large glowing orb that flew alongside our car.,8/5/2001,46.6486111,-97.0166667
71145,2005-08-03 23:00:00,grayson,ky,USA,light,300.0,5 minutes,Two small objects flying side by side and disappearing in an odd way.,9/2/2005,38.3325,-82.9486111
62715,2013-07-04 22:30:00,holiday,fl,USA,fireball,180.0,3 minutes,Silent glowing fireball moved slowly (at first) in straight line.,7/14/2013,28.1875,-82.7397222
23092,2013-12-06 20:00:00,salt lake city,ut,USA,light,60.0,1 minute,5 orange-gold lights ascend and disappear.,12/12/2013,40.7608333,-111.8902778
42647,2010-05-15 01:20:00,broken arrow,ok,USA,light,300.0,3-5 minutes,Two orange lights moving across the sky in formation and then each one dimmed and disappeared.,7/3/2013,36.0525,-95.7905556
77386,2004-09-24 02:00:00,charlotte,nc,USA,light,45.0,45 seconds,pulsing light racing us on the highway outside charlotte&#44 nc,9/29/2004,35.2269444,-80.8433333
22909,2003-12-06 19:15:00,sycamore,ga,USA,teardrop,900.0,15 min.,We saw 2  large objects in the sky and the colors were fascinating&#33,12/9/2003,31.6741667,-83.6375
3944,2012-10-22 17:30:00,batavia,oh,USA,sphere,60.0,20-60 seconds,Orange/Red Spheres seen by four people in Southwest Ohio,10/30/2012,39.0769444,-84.1769444
7702,2004-11-10 11:30:00,woodward,ok,USA,unknown,600.0,10 minutes,possible ufo sighting,12/3/2004,36.4336111,-99.39
74091,2001-09-13 00:30:00,williamsburg,va,USA,light,3.0,3 seconds,Me and my friend had snuck outside to play ding dong ditch. All of a sudden this purple light went across the sky&#44 its was slow at firs,3/21/2003,37.2705556,-76.7077778
70321,2011-08-28 21:45:00,rochester,mn,USA,light,180.0,3 minutes,Lighted object in orbital motion changed color&#44 stopped&#44 moved erratically at varying speeds&#44 on a non-orbital path.,10/10/2011,44.0216667,-92.4697222
32363,2006-03-19 20:30:00,tamarac,fl,USA,light,30.0,30 seconds,A little red light flew across the sky.,5/15/2006,26.2125,-80.25
40830,2004-04-08 06:20:00,charlotte,nc,USA,disk,300.0,5 min,at 6:20 when i was waiting for my bus i looked up and i saw a disklike figure with three glowing orange lights around it it was going e,4/27/2004,35.2269444,-80.8433333
13352,1998-11-28 16:45:00,long beach,ca,USA,triangle,30.0,30 sec.,Traveling in car on 405 Fwy No. transition to 22 Fwy E. observed Large Triangle Craft very low Aprox 300 to 400ft traviling west craft,1/28/1999,33.7669444,-118.1883333
20475,2003-12-25 23:30:00,brookfield,ct,USA,light,3600.0,1 hour plus,Hovering light Christmas Eve over Brookfield Connecticut 2003,1/17/2004,41.4825,-73.41
38196,2010-04-21 23:40:00,dominican republic (off coast of),,Other,sphere,300.0,5 minutes,Bright sphereical light rising from ocean surface observed from cruise ship,5/12/2010,18.735693,-70.162651
7078,2006-10-08 20:00:00,sebastopol,ca,USA,light,12.0,10-12 seconds,Extremely bright white light speeding SE&#44 high over the Northern California coast.  ((NUFORC Note:  Possible Iridium satellite.  PD)),10/30/2006,38.4022222,-122.8227778
45977,2012-05-06 22:52:00,washington&#44 d.c.,dc,Other,sphere,3.0,3 seconds,2 luminous spheres converged into the image frame from 2 different directions&#44 and flew by,5/29/2012,38.907231,-77.036464
72491,2012-08-08 10:20:00,canton,ct,USA,light,1800.0,1:30 minutes,Single&#44 unblinking&#44 and inaudible orange point of light progressed across clear night sky of Canton CT.,8/19/2012,41.8244444,-72.8941667
10116,1998-11-17 04:30:00,tampa,fl,USA,triangle,60.0,1 minute,Flying V seen by multiple wintesses in during meteor shower.,1/28/1999,27.9472222,-82.4586111
49837,2013-06-17 23:00:00,waterloo,ia,USA,fireball,300.0,5 minutes,Glowing orange&#44 orb like&#44 fireball,7/3/2013,42.4927778,-92.3427778
68947,2013-08-22 22:00:00,ocean city,md,USA,light,180.0,3 minutes,3 whites lights moving slow in formation and then just disappeared.,9/9/2013,38.3363889,-75.0852778
68909,2011-08-22 22:00:00,whitefish,mt,USA,triangle,300.0,4-5 minutes,Series of red/orange objects seen over Whitefish&#44 MT,10/10/2011,48.4111111,-114.3366667
10257,2010-11-17 18:15:00,moncks corner,sc,USA,unknown,60.0,one minute,Witness #1:  UFO flying over Moncks Corner&#44 SC&#44 5 or 6 lights on side and had red lights on bottom&#44 not moving very fast.,11/21/2010,33.1958333,-80.0133333
40380,2009-04-05 02:45:00,clarksville,md,USA,cigar,300.0,5 minutes,Large Mettalic Object making no sounds with red and green lights hovering by power lines moves away fast&#33,4/14/2009,39.2063889,-76.9433333
71830,2003-08-06 21:30:00,yakima,wa,USA,other,120.0,21:30-21:32 and 23:00-23:,Three &quot;star-like&quot; objects were spotted heading north from 9:30-9:32 and 11:00-11:05 at night.,8/28/2003,46.6022222,-120.5047222
37124,1987-04-16 15:30:00,yanbu al sinaiyah (saudi arabia),,Other,disk,60.0,30sec to 1min,Awesome show of colours and wonder amidst desert sands,7/13/2005,23.984548,38.253305
39521,2004-04-28 20:00:00,central paint,or,Other,light,60.0,1 minute,The light turn sharply south and climbed at 10:00  direction and disappeared,5/8/2014,42.375959,-122.916431
62247,2010-07-04 23:17:00,zeeland,mi,USA,fireball,90.0,60-90 seconds,Fireball with red pulsating aura moving north north east creating a slight to moderate wooshing sound,7/6/2010,42.8125,-86.0186111
79987,2008-09-08 07:15:00,reading,pa,USA,triangle,1200.0,20 minutes,It was a beautiful evening.Coll&#44clear&#44with a pale blue sky tinged by a golden sunset.I was coming from a local department store and as,8/5/2012,40.3355556,-75.9272222
13585,2013-11-28 20:28:00,sobieski,wi,USA,fireball,120.0,2 minutes,2 Orange fireballs appeared in northeast Wisconsin for approximately 2 minutes.,12/2/2013,44.7208333,-88.0719444
6962,2011-10-07 13:30:00,new braunfels,tx,USA,circle,180.0,2-3 min,Amazing blue silvery saucer type object -amazingly beautiful,12/12/2011,29.7027778,-98.1241667
78251,2010-09-28 05:00:00,breaux bridge,la,USA,circle,10800.0,3 hrs,i saw around lighted object in the sky only seen at night.,11/21/2010,30.2733333,-91.8991667
37909,2002-04-20 02:30:00,rocky mount,nc,USA,light,120.0,2 minutes,The light in the sky,4/25/2002,35.9380556,-77.7908333
54362,2012-06-08 23:00:00,ann arbor,mi,USA,fireball,3600.0,1 hour,Numerous fast moving&#44 large red lights in Northern sky at night,6/14/2012,42.2708333,-83.7263889
70174,2001-08-28 21:45:00,greendale,wi,USA,disk,240.0,apx. 4 minutes,Half acre sized black disc seen over Greendale&#44 Wisconsin.,10/12/2001,42.9405556,-87.9958333
22568,2003-12-05 17:43:00,orillia (canada),on,Canada,light,5.0,approx: 4 or 5 seconds,HBCCUFO CANADIAN REPORT:  Two orange lights  racing one another across the sky.,12/9/2003,44.6,-79.416667
55698,2000-07-12 19:50:00,spring glen,ny,USA,disk,5.0,3-5 seconds,Observed a typical type saucer traveling from Northwest to Southeast at approximately 2&#44000 to 2&#44500 feet above ground.  The Saucer was,7/23/2000,41.6655556,-74.4302778
68536,2000-08-02 21:30:00,long beach (southport),nc,USA,light,5400.0,1.5 hours,6 of us saw three bright lights appearing next to each other for about 1.5 hours&#44 several crafts appeared to be searching for it.,8/19/2000,33.9102778,-78.1180556
2767,2005-10-18 01:15:00,hickory hills,il,USA,formation,15.0,.15,one object with three strobe lights pulsating - been over 10min in one position then moved very fast thru other position .,10/20/2005,41.7255556,-87.825
2831,2011-10-18 22:15:00,bothell,wa,USA,disk,480.0,8 minutes,I saw what appeared to be a flying saucer that glided over and past my car on my my way home from work at night.,10/25/2011,47.7625,-122.2041667
27636,2014-02-20 22:00:00,porterville,ca,USA,disk,900.0,15 minutes,Bright orange lights turn into slow moving saucer shaped object in the night sky.,2/27/2014,36.0652778,-119.0158333
74294,1999-09-14 06:00:00,laurel,md,USA,circle,180.0,3 minutes,I saw a orange/red glowing object that stopped glowing and then moved&#44 at a very high rate of speed&#44 out into space at about a 20-30 de,10/2/1999,39.0991667,-76.8486111
14547,2011-01-14 22:05:00,peoria,az,USA,flash,1.0,1 second,Quick moving ball of light in NW Phoenix Valley,1/31/2011,33.5805556,-112.2366667
46395,2009-05-09 21:30:00,yeovil (uk/england),,Britain,unknown,1200.0,20 mins,7 unknown craft.,5/12/2009,50.95,-2.633333
3406,1997-10-21 22:00:00,bluff,ut,USA,light,60.0,1 minute,following a green fireball&#44 a red light appeared on Comb Ridge.,2/18/2001,37.2844444,-109.5511111
44031,2009-05-23 11:18:00,cincinnati,oh,USA,triangle,120.0,over a hour,triangle shaped 3 orange globes,6/9/2009,39.1619444,-84.4569444
3734,2012-10-02 13:00:00,corona,ca,USA,oval,600.0,10 minutes,10 oval objects flying over Corona&#44 California in broad daylight.,10/30/2012,33.8752778,-117.5655556
21292,1995-12-30 01:00:00,seattle,wa,USA,,900.0,15 min.,Woman&#39s attention drawn to very faint light over Puget Sound.  Obj. grows brighter&#44 then suddenly moves to W and disappears.,11/2/1999,47.6063889,-122.3308333
65163,2010-08-01 00:05:00,brandon,sd,USA,fireball,420.0,seven minutes,About 7-9 orange objects appeared in the sky to the East&#44 moving Northeast; each faded out after about seven minutes.,8/24/2010,43.5947222,-96.5716667
20779,2012-12-26 06:00:00,new york city (brooklyn),ny,USA,disk,1200.0,20 minutes,Disc shaped UFO sighted in New York.,2/4/2013,40.7141667,-74.0063889
28878,2012-02-27 03:45:00,leavenworth,ks,USA,fireball,300.0,two - five mins.,Several fireball ish  looking craft&#44 &quot;danicing&#39&#39 wave like motions in Kansas&#44 USA.,3/13/2012,39.3111111,-94.9222222
60298,1983-07-28 14:00:00,faibourne (uk/wales),,Other,other,4.0,4sec,Grey square object made up of small square objects&#44 moving through the sky at speed&#44 daytime,6/9/2009,52.696651,-4.054346
15741,2008-01-17 21:15:00,fulshear,tx,USA,other,120.0,2 minutes,A very large&#44 lighted craft sighted  in rural Texas in January&#44 2008 was sighted briefly and was not identifiable to the observer.,1/21/2008,29.6897222,-95.8994444
76756,2012-09-02 11:50:00,abingdon,va,USA,unknown,120.0,2 minutes,Thermal hit in the clouds after a storm,9/24/2012,36.7097222,-81.9775
72663,2008-08-09 02:00:00,alton (hampshire) (uk/england),,Britain,light,60.0,just over a minute,Strange Bright white light hovering over nearby wood.,8/12/2008,52.966667,-1.883333
52795,1978-06-30 00:00:00,griffin,ga,USA,disk,120.0,2 min,UFO came down and went behind a hill 300 yards away.,7/15/2005,33.2466667,-84.2641667
45216,2008-05-31 02:30:00,yucaipa,ca,USA,circle,180.0,3 min,Two orange star looking objects in yucaipa&#44 ca seen late at night were unexplain able.,6/12/2008,34.0336111,-117.0422222
68642,2008-08-02 23:30:00,yulee,fl,USA,light,300.0,5 mins,Flashing lights,8/12/2008,30.6316667,-81.6066667
3636,2003-10-02 21:00:00,goose creek,sc,USA,diamond,60.0,60 seconds,Object moved the full view of night sky in less than 60 seconds,10/7/2003,32.9808333,-80.0327778
49825,2012-06-17 22:30:00,burton,mi,USA,light,1800.0,30 minutes,Three red lights seen appearing disappearing&#44  and reappearing again in Burton&#44  MI,7/4/2012,42.9994444,-83.6163889
66881,1974-08-16 19:30:00,somersworth,nh,USA,disk,10.0,5-10 seconds,Saucer seen from about 40 feet away at top of trees in Somersworth&#44 NH&#44 36 years ago.,6/3/2010,43.2616667,-70.8658333
27237,2009-02-18 20:35:00,houston,tx,USA,light,4500.0,1 hour 15 min,I have never seen a light this kind ever in my life. it had to be a ufo.  ((NUFORC Note:  Probably Venus.  PD)),3/19/2009,29.7630556,-95.3630556
64121,1972-08-10 12:10:00,bloomington,il,USA,circle,10800.0,3 hours,I  I WAS WATCHING FOR METEORITES FROM MY FRONT PORCH&#44 LIKE I DO EVERY YEAR ON AUG.10AND11. I HEARD A LOUD CRASH LIKE FARM MACHINARY SHU,8/5/2000,40.4841667,-88.9936111
66567,2001-08-15 21:30:00,firth,id,USA,light,30.0,30 secs,two light s coming from opposite directions&#44 circled each other &#44 then flew back to the original direction,12/23/2002,43.3052778,-112.1822222
8214,2000-11-01 03:00:00,commack,ny,USA,egg,180.0,3 min,Egg Shaped Ufo Over Long Island NY,5/9/2003,40.8427778,-73.2933333
39492,2001-04-28 04:50:00,point pleasant,nj,USA,unknown,120.0,2 minutes,Fast moving object late night/early morning over the Jersey Shore.,8/5/2001,40.0830556,-74.0686111
49721,2004-06-17 19:45:00,bavaro (dominican republic),,Other,light,10.0,10 seconds,June 17 2004&#44 Bavaro&#44 Dominican Republic. Bright light in sky which stops and changes direction.,7/8/2004,18.698384,-68.451145
662,1999-10-01 18:12:00,norman,ok,USA,cigar,120.0,2 min,Soundless cigar shaped object(s) transited South to North. Weather- clear&#44 unlimited visibility&#44 near 70 degrees F.,10/19/1999,35.2225,-97.4391667
15981,2003-11-08 20:00:00,harvard,il,USA,triangle,300.0,5 minutes,Harvard&#44 IL.  11/8/03 8:00 pm 5 minutes triangle shape no noise traveling to the south south east lights on side and rear,11/11/2003,42.4222222,-88.6136111
78589,1985-09-30 06:00:00,amherst,ma,USA,rectangle,10.0,less than 10 seconds,Drum like Object with Vertical Rectangle Light Panels.,12/20/2012,42.3802778,-72.5236111
49019,1993-06-15 23:40:00,nas whidby island/oak harbor,wa,Other,light,300.0,about 5 minuets,I was in the Military at the time stationed at Navel Air Station Whidbey Island&#44 Washington. My military occupation was Aviation Ordnan,12/9/2003,48.345288,-122.669729
64163,1991-08-10 20:30:00,selden,ny,USA,light,30.0,30 seconds,Large Light Sighted Over Long Island NY,10/30/2006,40.8663889,-73.0361111
36055,1997-04-01 10:00:00,round rock,tx,USA,triangle,900.0,15:00,We never heard any aircraft noises.,8/28/2002,30.5080556,-97.6786111
56107,2012-07-13 03:27:00,charlotte,nc,USA,triangle,10.0,9-10 seconds,Black triangle 36 sighted in backyard early AM that leaped from ground to higher branch or line.,8/19/2012,35.2269444,-80.8433333
62134,2010-07-04 21:30:00,topeka,ks,USA,triangle,120.0,2 minutes,Orange object of July 4&#44 2010&#44 in Topeka&#44 Kansas,7/19/2010,39.0483333,-95.6777778
39136,1999-04-26 00:30:00,oshawa (canada),on,Canada,unknown,10.0,10 seconds,Rapidly moving lights in westerly direction&#44 then disappearing.,12/2/2000,43.9,-78.866667
18362,2006-12-15 10:00:00,lebanon,oh,USA,unknown,15.0,15 seconds,electrical shortage while driving&#44 (1st time to happen while driving) time was in slow motion&#44 calm.. and then electic was restored..,12/12/2011,39.4352778,-84.2030556
58633,2008-07-21 22:35:00,portsmouth (uk/england),,Britain,triangle,600.0,5 - 10 minutes,equilateral triangle shape red and white flashing lights,8/12/2008,50.7967,-1.083333
56833,1996-07-15 21:00:00,amarillo,tx,USA,other,10800.0,2-3hours,Knowledge for a perpetual energy device&#44and how to create a gravity wave for anti-gravity perpulsion. FREE- ASK,6/18/2003,35.2219444,-101.8308333
42789,2010-05-16 21:30:00,hugo,mn,USA,other,180.0,3 minutes,Two bright lights&#44 pentagonal in shape an red in color&#44 moved across the northern sky&#44 hovered&#44 then flew off quickly.,6/3/2010,45.16,-92.9930556
29253,2001-02-04 00:01:00,canyon lake,tx,USA,light,10800.0,2-3 hours,Star/Plane looking Red&#44Blue&#44and White flashing light&#44slowly moving,2/18/2001,29.875,-98.2622222
10391,2001-11-18 04:22:00,fort lauderdale,fl,USA,disk,45.0,45 seconds,Two saucer shaped faintly glowing objects side by side silently going north over Ft. Lauderdale on 11/18/01 at 4:22,8/28/2002,26.1219444,-80.1436111
41389,2005-05-11 21:55:00,san anselmo,ca,USA,unknown,60.0,1 minute,Bright as a distant star but moving across the whole sky on a &quot;path.&quot;,5/24/2005,37.9747222,-122.5605556
68190,2011-08-20 23:00:00,casper,wy,USA,light,120.0,2 minutes,A light about the brightness of a star doing figure eights and circles.,8/21/2011,42.8666667,-106.3125
71519,2013-08-04 22:00:00,clovis,ca,USA,light,30.0,30 seconds,Bright light that weaves from left to right and was a fast mover.,8/30/2013,36.8252778,-119.7019444
26509,2013-02-14 19:06:00,virginia beach,va,USA,chevron,60.0,1 minute,Very distinct flash in the eyes beam of light directing me towards the &amp;quot;star&amp;quot; object darting through sky,2/18/2013,36.8527778,-75.9783333
60783,2002-07-30 14:00:00,mesquite,nm,USA,triangle,300.0,5 min,It was parked (floating) there&#44 how long&#44 I dont know...,3/21/2003,32.1644444,-106.6961111
59536,2012-07-24 23:40:00,east palestine,oh,USA,egg,300.0,5 minutes,Strange UFO sighting in East Palestine&#44 Ohio on the night of July 24&#44 2012,8/5/2012,40.8338889,-80.5405556
27751,2012-02-21 20:30:00,stephens city,va,USA,light,2400.0,40 minutes,Star-like light disappears and reappears multiple times in stationary position,3/13/2012,39.0833333,-78.2183333
36183,2010-04-01 13:00:00,naples,fl,USA,circle,300.0,5 minutes,White&#44 slow circle,4/13/2010,26.1416667,-81.795
26549,2014-02-14 22:30:00,lebanon,pa,USA,fireball,300.0,~5 minutes,Bright fireball sighted and followed&#44 then minutes later it dissapeared.,2/21/2014,40.3408333,-76.4116667
62324,2011-07-04 21:45:00,lynchburg,va,USA,light,240.0,3-4 minutes,Tonight myself and my son went to watch the 4th of July fireworks display at the local baseball stadium. We parked on a street behind a,7/6/2011,37.4136111,-79.1425
39724,2007-04-29 20:50:00,boonsboro,md,USA,disk,60.0,45 seconds to a minute,UFO observed near Boonsboro&#44 MD in the evening.,6/12/2007,39.5061111,-77.6527778
51822,2012-06-25 21:00:00,front royal,va,USA,teardrop,30.0,20-30 seconds,Comet like object with attached long white light trailing behind it&#44 streaking across sky,7/4/2012,38.9180556,-78.1947222
70715,2010-08-30 20:43:00,spring hill,fl,USA,fireball,300.0,5 minutes,One round ball of fire floating over Spring Hill&#44 Florida,11/21/2010,28.5555556,-82.4505556
56852,1997-07-15 19:00:00,eden prairie,mn,USA,other,300.0,5 minutes,I saw four silver colored( like when the sun shines on an airplane) capsuale shaped objects that were traveling east to west&#44 very fast,1/28/1999,44.8547222,-93.4705556
73456,1999-09-01 19:40:00,vallejo,ca,USA,,4800.0,1hr 20min,I&#39m not sure my first post went through&#44 I was kicked off the internet. A power outage occured between these hours throughout a large p,9/12/1999,38.1041667,-122.2555556
16608,2013-11-09 19:15:00,mccordsville,in,USA,fireball,1200.0,20 minutes,Orange lights over geist.,11/11/2013,39.9080556,-85.9227778
43778,2014-05-02 22:15:00,queen creek,az,USA,light,30.0,30 seconds,Single red/orange light moving east to west at the speed of a satellite lasting thirty seconds,5/8/2014,33.2486111,-111.6336111
9744,1999-11-16 18:05:00,appleton,wi,USA,fireball,25.0,25 seconds,While stepping outside to take out the trash&#44 I saw a large yellow-green fireball traveling west to east about 30 degrees above the hor,11/17/1999,44.2619444,-88.4152778
49284,2005-06-15 02:30:00,valley springs,ca,USA,sphere,180.0,3 minutes,White sphere turns orange.,5/15/2013,38.1916667,-120.8280556
2174,2008-10-15 00:22:00,arden,nc,USA,triangle,4.0,4 seconds,Black Triangle crossing the face of the moon viewed from a 8&quot; Dobsonian Telescope with star tracking software,1/10/2009,35.4661111,-82.5166667
49336,2006-06-15 00:00:00,colorado (location unspecified; from amtrak train),co,Other,disk,30.0,30 sec.,Sister on an Amtrak train going through Colorado took photo of objects that I had seen in 1992. The month was june of 2006. Links to im,10/30/2006,39.550051,-105.782067
12533,2002-11-23 07:25:00,oud-heverlee (belgium),,Other,other,1.0,1 second,A full oval illuminated ball motioned at low altitude,12/23/2002,50.837165,4.663337
5515,2006-10-30 13:10:00,boyne island (australia),,Other,disk,300.0,5 mi ns,Ufo looked like a disk&#44 saucer shape and a greyish colour. the ufo seemed to just hover.,12/7/2006,-23.933333,151.35
64971,1998-08-01 00:00:00,provincetown (cape cod),ma,USA,light,3.0,3 seconds maybe,Looking west I saw a &quot;green shooting star&quot;&#44 that&#44 while falling&#44 produced four jet engines&#44 changed color to orange and shot straight u,4/2/1999,42.0583333,-70.1791667
1067,2003-10-12 00:00:00,salatiga (indonesia),,Other,disk,22.0,22 seconds,UFO in Salatiga&#44Indonesia,10/31/2003,-7.33683,110.498817
79105,2004-09-04 05:30:00,st. augustine,fl,USA,cylinder,6.0,6 seconds,Large gray cylinder hovering just above tree tops,8/7/2007,29.8944444,-81.3147222
77428,2008-09-24 22:00:00,san jacinto,ca,USA,light,10.0,approx. 10 seconds,Red light In San Jacinto&#44 CA.,12/12/2009,33.7838889,-116.9577778
50084,2003-06-19 21:00:00,reston,va,USA,sphere,10.0,10 seconds,the object was only about 50-foot above&#44 stagnent&#44 very quiet and looks like it&#39s shut down waiting for thunderstorm going away...,7/16/2003,38.9686111,-77.3413889
7943,2003-11-11 20:50:00,paddock lake,wi,USA,sphere,2.0,2 seconds,Silvery sphere&#44 glowing white&#44 headed southwest very quickly from Paddock Lake&#44 Wisconsin,11/26/2003,42.5775,-88.105
60890,2011-07-30 00:10:00,eureka,mi,USA,light,120.0,00:2:00,Turquoise Light in the sky,8/7/2011,43.1036111,-84.5138889
33672,2014-03-26 20:45:00,mount pleasant,sc,USA,triangle,480.0,8 minutes,Silent black triangle with orange lights about 500 feet up&#44 eerily silent,3/27/2014,32.7938889,-79.8627778
2477,2013-10-16 21:30:00,globe,az,USA,other,1500.0,25 minutes,Six objects each consisting of an arc shaped pattern of 7 lights spotted near Globe&#44 AZ.,11/11/2013,33.3941667,-110.7858333
10758,2011-11-19 21:30:00,gravette,ar,USA,flash,7200.0,2 hours,Ambient strobe like light located in forest.,12/12/2011,36.4219444,-94.4533333
45681,2002-05-05 22:00:00,state college,pa,USA,light,240.0,3-4 mins,lights in the sky,5/14/2002,40.7933333,-77.8602778
12260,1964-11-22 22:00:00,memphis,tn,USA,circle,900.0,15 mins,Moon like UFO hovers for minutes then ascends to appear to look like bright star&#44 then dim star&#44 then gone.,1/12/2012,35.1494444,-90.0488889
10160,2001-11-17 21:00:00,sewanee,tn,USA,cylinder,4.0,4 seconds,A glowing cylinder,3/19/2002,35.2030556,-85.9211111
35747,2010-04-10 22:45:00,moffat (uk/scotland),,Britain,oval,540.0,9mins,We...have...full...video...footage.on...a..camera .although...my...cam...phone...never picked..up They...were...4...red...roundish...sl,4/13/2010,55.316667,-3.45
43732,2009-05-02 18:35:00,oakland,ca,USA,rectangle,60.0,1 minute,rectangular shaped object over Oakland&#44 CA,5/12/2009,37.8044444,-122.2697222
78825,2012-09-30 23:00:00,hull (canada),qc,Canada,triangle,300.0,5 minute,Triangle craft  whit 3 really bright beams of lights that look exactly like the 1990 belgium sightings.,2/4/2013,45.433333,-75.733333
8564,2012-11-01 22:10:00,leighton buzzard (uk/england),,Britain,sphere,300.0,5 minutes,Two seperate fast moving orange spheres observed within 5 mins - Bedfordshire UK,11/19/2012,51.916667,-0.65
67962,1999-08-20 00:00:00,wasaga beach (canada),on,Canada,unknown,5400.0,1hour 30 mins,The bright white light got bigger as it got closer to the back of our car..,10/11/2005,44.52,-79.99
71200,2010-08-03 00:30:00,hanover,pa,USA,unknown,1800.0,30 minutes,At 00:30 at coduras state park&#44 unknown ship flew above treetops creating powerful down winds&#44 flew over park area. Could hear winds fl,8/24/2010,39.8005556,-76.9833333
